question,answer
How to prevent Parasites - Cysticercosis ?,"To prevent cysticercosis, the following precautions should be taken:
    
     - Wash your hands with soap and warm water after using the toilet, changing diapers, and before handling food
     - Teach children the importance of washing hands to prevent infection
     - Wash and peel all raw vegetables and fruits before eating
     - Use good food and water safety practices while traveling in developing countries such as: 
      
       - Drink only bottled or boiled (1 minute) water or carbonated (bubbly) drinks in cans or bottles
       - Filter unsafe water through an ""absolute 1 micron or less"" filter AND dissolve iodine tablets in the filtered water; ""absolute 1 micron"" filters can be found in camping and outdoor supply stores
      
    
    
More on: Handwashing
    
More on: Food and Water Safety"
What is (are) Parasites - Trichuriasis (also known as Whipworm Infection) ?,Whipworm (Trichuris trichiura) is an intestinal parasite of humans. The larvae and adult worms live in the intestine of humans and can cause intestinal disease. The name is derived from the worm’s distinctive whip-like shape.
Who is at risk for Parasites - Trichuriasis (also known as Whipworm Infection)? ?,"Whipworm is a soil-transmitted helminth (STH) and is the third most common roundworm of humans. Whipworm causes an infection called trichuriasis and often occurs in areas where human feces is used as fertilizer or where defecation onto soil happens. The worms are spread from person to person by fecal-oral transmission or through feces-contaminated food.
    Geographic Distribution
Worldwide, infection occurs more frequently in areas with tropical weather and poor sanitation practices, and among children. In 2002, the estimated number of persons infected with whipworm was 1 billion. Trichuriasis also occurs in the southern United States."
How to diagnose Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The standard method for diagnosing the presence of whipworm is by microscopically identifying whipworm eggs in a stool sample. Because eggs may be difficult to find in light infections, a concentration procedure is recommended."
What are the treatments for Parasites - Trichuriasis (also known as Whipworm Infection) ?,"Anthelminthic medications (drugs that rid the body of parasitic worms), such as albendazole and mebendazole, are the drugs of choice for treatment. Infections are generally treated for 3 days. The recommended medications are effective. Health care providers may decide to repeat a stool exam after treatment. Iron supplements may also be prescribed if the infected person suffers from anemia.
    
More on: Resources for Health Professionals: Treatment"
How to prevent Parasites - Trichuriasis (also known as Whipworm Infection) ?,"The best way to prevent whipworm infection is to always:
    
     - Avoid ingesting soil that may be contaminated with human feces, including where human fecal matter (""night soil"") or wastewater is used to fertilize crops.
     - Wash your hands with soap and warm water before handling food.
     - Teach children the importance of washing hands to prevent infection.
     - Wash, peel, or cook all raw vegetables and fruits before eating, particularly those that have been grown in soil that has been fertilized with manure.
    
    
More on: Handwashing
    
Transmission of infection to others can be prevented by
    
     - Not defecating outdoors.
     - Effective sewage disposal systems."
what are marine toxins?,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood. The seafood contaminated with these chemicals frequently looks, smells, and tastes normal. When humans eat such seafood, disease can result."
how can these diseases be diagnosed for Marine Toxins ?,"Diagnosis of marine toxin poisoning is generally based on symptoms and a history of recently eating a particular kind of seafood. Laboratory testing for the specific toxin in patient samples is generally not necessary because this requires special techniques and equipment available in only specialized laboratories. If suspect, leftover fish or shellfish are available, they can be tested for the presence of the toxin more easily. Identification of the specific toxin is not usually necessary for treating patients because there is no specific treatment."
how can these diseases be treated for Marine Toxins ?,"Other than supportive care there are few specific treatments for ciguatera poisoning, paralytic shellfish poisoning, neurotoxic shellfish poisoning, or amnesic shellfish poisoning. Antihistamines and epinephrine, however, may sometimes be useful in treating the symptoms of scombrotoxic fish poisoning. Intravenous mannitol has been suggested for the treatment of severe ciguatera poisoning."
how common are these diseases for Marine Toxins ?,"Every year, approximately 30 cases of poisoning by marine toxins are reported in the United States. Because healthcare providers are not required to report these illnesses and because many milder cases are not diagnosed or reported, the actual number of poisonings may be much greater. Toxic seafood poisonings are more common in the summer than winter because dinoflagelates grow well in warmer seasons. It is estimated from cases with available data that one person dies every 4 years from toxic seafood poisonings."
what can i do to prevent poisoning by marine toxins?,General guidelines for safe seafood consumption:
what is the government doing about these diseases for Marine Toxins ?,"Some health departments test shellfish harvested within their jurisdiction to monitor the level of dinoflagellate toxins and asses the risk for contamination. Based on the results of such testing, recreational and commercial seafood harvesting may be prohibited locally during periods of risk. State and federal regulatory agencies monitor reported cases of marine toxin poisoning, and health departments investigate possible outbreaks and devise control measures. The Centers for Disease Control and Prevention (CDC) provides support to investigators as needed."
what else can be done to prevent these diseases for Marine Toxins ?,"It is important to notify public health departments about even one person with marine toxin poisoning. Public health departments can then investigate to determine if a restaurant, oyster bed, or fishing area has a problem. This prevents other illnesses. In any food poisoning occurrence, consumers should note foods eaten and freeze any uneaten portions in case they need to be tested. A commercial test has been developed in Hawaii to allow persons to test sport caught fish for ciguatoxins."
What is (are) Yellow Fever Vaccination ?,"If you continue to live or travel in yellow fever-endemic areas, you should receive a booster dose of yellow fever vaccine after 10 years.
                
After receiving the vaccine, you should receive an International Certificate of Vaccination (yellow card) that has been validated by the vaccination center. This Certificate becomes valid 10 days after vaccination and lasts for 10 years. You will need this card as proof of vaccination to enter certain countries."
What is (are) Parasites - Schistosomiasis ?,"Schistosomiasis, also known as bilharzia, is a disease caused by parasitic worms. Infection with Schistosoma mansoni, S. haematobium, and S. japonicum causes illness in humans; less commonly, S. mekongi and S. intercalatum can cause disease. Although the worms that cause schistosomiasis are not found in the United States, more than 200 million people are infected worldwide."
Who is at risk for Parasites - Schistosomiasis? ?,"Schistosomiasis is an important cause of disease in many parts of the world, most commonly in places with poor sanitation. School-age children who live in these areas are often most at risk because they tend to spend time swimming or bathing in water containing infectious cercariae.
If you live in, or travel to, areas where schistosomiasis is found and are exposed to contaminated freshwater, you are at risk.
   
Areas where human schistosomiasis is found include:
   
    - Schistosoma mansoni 
     
      - distributed throughout Africa: There is risk of infection in freshwater in southern and sub-Saharan Africa–including the great lakes and rivers as well as smaller bodies of water. Transmission also occurs in the Nile River valley in Sudan and Egypt
      - South America: including Brazil, Suriname, Venezuela
      - Caribbean (risk is low): Dominican Republic, Guadeloupe, Martinique, and Saint Lucia.
     
    - S. haematobium 
     
      - distributed throughout Africa: There is risk of infection in freshwater in southern and sub-Saharan Africa–including the great lakes and rivers as well as smaller bodies of water. Transmission also occurs in the Nile River valley in Egypt and the Mahgreb region of North Africa.
      - found in areas of the Middle East
     
    - S. japonicum 
     
      - found in Indonesia and parts of China and Southeast Asia
     
    - S. mekongi 
     
      - found in Cambodia and Laos
     
    - S. intercalatum 
     
      - found in parts of Central and West Africa."
How to diagnose Parasites - Schistosomiasis ?,"Stool or urine samples can be examined microscopically for parasite eggs (stool for S. mansoni or S. japonicum eggs and urine for S. haematobium eggs). The eggs tend to be passed intermittently and in small amounts and may not be detected, so it may be necessary to perform a blood (serologic) test.
    
More on: Resources for Health Professionals: Diagnosis"
What are the treatments for Parasites - Schistosomiasis ?,"Safe and effective medication is available for treatment of both urinary and intestinal schistosomiasis. Praziquantel, a prescription medication, is taken for 1-2 days to treat infections caused by all Schistosoma species.
    
More on: Resources for Health Professionals: Treatment"
How to prevent Parasites - Schistosomiasis ?,"Prevention
    
No vaccine is available.
    
The best way to prevent schistosomiasis is to take the following steps if you are visiting or live in an area where schistosomiasis is transmitted:
    
     - Avoid swimming or wading in freshwater when you are in countries in which schistosomiasis occurs. Swimming in the ocean and in chlorinated swimming pools is safe.
     - Drink safe water. Although schistosomiasis is not transmitted by swallowing contaminated water, if your mouth or lips come in contact with water containing the parasites, you could become infected. Because water coming directly from canals, lakes, rivers, streams, or springs may be contaminated with a variety of infectious organisms, you should either bring your water to a rolling boil for 1 minute or filter water before drinking it. Bring your water to a rolling boil for at least 1 minute will kill any harmful parasites, bacteria, or viruses present. Iodine treatment alone WILL NOT GUARANTEE that water is safe and free of all parasites.
     - Water used for bathing should be brought to a rolling boil for 1 minute to kill any cercariae, and then cooled before bathing to avoid scalding. Water held in a storage tank for at least 1 - 2 days should be safe for bathing.
     - Vigorous towel drying after an accidental, very brief water exposure may help to prevent the Schistosoma parasite from penetrating the skin. However, do not rely on vigorous towel drying alone to prevent schistosomiasis.
    
    
Those who have had contact with potentially contaminated water overseas should see their health care provider after returning from travel to discuss testing.
    
More on: Schistosomiasis in Travelers
   
  
  
   Control
   
In countries where schistosomiasis causes significant disease, control efforts usually focus on:
   
    - reducing the number of infections in people and/or
    - eliminating the snails that are required to maintain the parasite’s life cycle.
   
   
For all species that cause schistosomiasis, improved sanitation could reduce or eliminate transmission of this disease. In some areas with lower transmission levels, elimination of schistosomiasis is considered a ""winnable battle"" by public health officials.
   
Control measures can include mass drug treatment of entire communities and targeted treatment of school-age children. Some of the problems with control of schistosomiasis include:
   
    - Chemicals used to eliminate snails in freshwater sources may harm other species of animals in the water and, if treatment is not sustained, the snails may return to those sites afterwards.
    - For certain species of the parasite, such as S. japonicum, animals such as cows or water buffalo can also be infected. Runoff from pastures (if the cows are infected) can contaminate freshwater sources."
What is (are) Parasites - Lice - Head Lice ?,"The head louse, or Pediculus humanus capitis, is a parasitic insect that can be found on the head, eyebrows, and eyelashes of people. Head lice feed on human blood several times a day and live close to the human scalp. Head lice are not known to spread disease."
Who is at risk for Parasites - Lice - Head Lice? ?,"In the United States, infestation with head lice (Pediculus humanus capitis) is most common among preschool- and elementary school-age children and their household members and caretakers. Head lice are not known to transmit disease; however, secondary bacterial infection of the skin resulting from scratching can occur with any lice infestation.
    
Getting head lice is not related to cleanliness of the person or his or her environment.
    
Head lice are mainly spread by direct contact with the hair of an infested person. The most common way to get head lice is by head-to-head contact with a person who already has head lice. Such contact can be common among children during play at:
    
     - school,
     - home, and
     - elsewhere (e.g., sports activities, playgrounds, camp, and slumber parties).
    
    
Uncommonly, transmission may occur by:
    
     - wearing clothing, such as hats, scarves, coats, sports uniforms, or hair ribbons worn by an infested person;
     - using infested combs, brushes or towels; or
     - lying on a bed, couch, pillow, carpet, or stuffed animal that has recently been in contact with an infested person.
    
    
Reliable data on how many people get head lice each year in the United States are not available; however, an estimated 6 million to 12 million infestations occur each year in the United States among children 3 to 11 years of age. Some studies suggest that girls get head lice more often than boys, probably due to more frequent head-to-head contact.
    
In the United States, infestation with head lice is much less common among African-Americans than among persons of other races. The head louse found most frequently in the United States may have claws that are better adapted for grasping the shape and width of some types of hair but not others."
How to diagnose Parasites - Lice - Head Lice ?,"Misdiagnosis of head lice infestation is common. The diagnosis of head lice infestation is best made by finding a live nymph or adult louse on the scalp or hair of a person.
    
Because adult and nymph lice are very small, move quickly, and avoid light, they may be difficult to find. Use of a fine-toothed louse comb may facilitate identification of live lice.
    
If crawling lice are not seen, finding nits attached firmly within ¼ inch of the base of hair shafts suggests, but does not confirm, the person is infested. Nits frequently are seen on hair behind the ears and near the back of the neck. Nits that are attached more than ¼ inch from the base of the hair shaft are almost always non-viable (hatched or dead). Head lice and nits can be visible with the naked eye, although use of a magnifying lens may be necessary to find crawling lice or to identify a developing nymph inside a viable nit. Nits are often confused with other particles found in hair such as dandruff, hair spray droplets, and dirt particles.
    
If no nymphs or adults are seen, and the only nits found are more than ¼ inch from the scalp, then the infestation is probably old and no longer active — and does not need to be treated."
What are the treatments for Parasites - Lice - Head Lice ?,"General Guidelines 
   
Treatment for head lice is recommended for persons diagnosed with an active infestation. All household members and other close contacts should be checked; those persons with evidence of an active infestation should be treated. Some experts believe prophylactic treatment is prudent for persons who share the same bed with actively-infested individuals. All infested persons (household members and close contacts) and their bedmates should be treated at the same time. 
   
Some pediculicides (medicines that kill lice) have an ovicidal effect (kill eggs). For pediculicides that are only weakly ovicidal or not ovicidal, routine retreatment is recommended. For those that are more strongly ovicidal, retreatment is recommended only if live (crawling) lice are still present several days after treatment (see recommendation for each medication). To be most effective, retreatment should occur after all eggs have hatched but before new eggs are produced. 
   
When treating head lice, supplemental measures can be combined with recommended medicine (pharmacologic treatment); however, such additional (non-pharmacologic) measures generally are not required to eliminate a head lice infestation. For example, hats, scarves, pillow cases, bedding, clothing, and towels worn or used by the infested person in the 2-day period just before treatment is started can be machine washed and dried using the hot water and hot air cycles because lice and eggs are killed by exposure for 5 minutes to temperatures greater than 53.5°C (128.3°F). Items that cannot be laundered may be dry-cleaned or sealed in a plastic bag for two weeks. Items such as hats, grooming aids, and towels that come in contact with the hair of an infested person should not be shared. Vacuuming furniture and floors can remove an infested person's hairs that might have viable nits attached. 
     
   
Treatment of the infested person(s): Requires using an Over-the-counter (OTC) or prescription medication. Follow these treatment steps: 
    
    - Before applying treatment, it may be helpful to remove clothing that can become wet or stained during treatment. 
    - Apply lice medicine, also called pediculicide, according to the instructions contained in the box or printed on the label. If the infested person has very long hair (longer than shoulder length), it may be necessary to use a second bottle. Pay special attention to instructions on the label or in the box regarding how long the medication should be left on the hair and how it should be washed out.
 
       
       
        
       
       
    - Have the infested person put on clean clothing after treatment. 
    - If a few live lice are still found 8–12 hours after treatment, but are moving more slowly than before, do not retreat. The medicine may take longer to kill all the lice. Comb dead and any remaining live lice out of the hair using a fine–toothed nit comb. 
    - If, after 8–12 hours of treatment, no dead lice are found and lice seem as active as before, the medicine may not be working. Do not retreat until speaking with your health care provider; a different pediculicide may be necessary. If your health care provider recommends a different pediculicide, carefully follow the treatment instructions contained in the box or printed on the label. 
    - Nit (head lice egg) combs, often found in lice medicine packages, should be used to comb nits and lice from the hair shaft. Many flea combs made for cats and dogs are also effective. 
    - After each treatment, checking the hair and combing with a nit comb to remove nits and lice every 2–3 days may decrease the chance of self–reinfestation. Continue to check for 2–3 weeks to be sure all lice and nits are gone. Nit removal is not needed when treating with spinosad topical suspension. 
    - Retreatment is meant to kill any surviving hatched lice before they produce new eggs. For some drugs, retreatment is recommended routinely about a week after the first treatment (7–9 days, depending on the drug) and for others only if crawling lice are seen during this period. Retreatment with lindane shampoo is not recommended. 
    
     
   
Supplemental Measures: Head lice do not survive long if they fall off a person and cannot feed. You don't need to spend a lot of time or money on housecleaning activities. Follow these steps to help avoid re–infestation by lice that have recently fallen off the hair or crawled onto clothing or furniture. 
    
    -  
Machine wash and dry clothing, bed linens, and other items that the infested person wore or used during the 2 days before treatment using the hot water (130°F) laundry cycle and the high heat drying cycle. Clothing and items that are not washable can be dry–cleaned 
OR 
sealed in a plastic bag and stored for 2 weeks.  
    - Soak combs and brushes in hot water (at least 130°F) for 5–10 minutes. 
    - Vacuum the floor and furniture, particularly where the infested person sat or lay. However, the risk of getting infested by a louse that has fallen onto a rug or carpet or furniture is very low. Head lice survive less than 1–2 days if they fall off a person and cannot feed; nits cannot hatch and usually die within a week if they are not kept at the same temperature as that found close to the human scalp. Spending much time and money on housecleaning activities is not necessary to avoid reinfestation by lice or nits that may have fallen off the head or crawled onto furniture or clothing. 
    - Do not use fumigant sprays; they can be toxic if inhaled or absorbed through the skin. 
    
   
 
     
   
Prevent Reinfestation: 
   
More on: Prevention & Control 
   
 
     
   Over-the-counter Medications 
   
Many head lice medications are available ""over-the-counter"" without a prescription at a local drug store or pharmacy. Each over-the-counter product approved by the FDA for the treatment of head lice contains one of the following active ingredients. If crawling lice are still seen after a full course of treatment contact your health care provider. 
    
    -  
Pyrethrins combined with piperonyl butoxide;
 Brand name products: A–200*, Pronto*, R&C*, Rid*, Triple X*, Licide* 
Pyrethrins are naturally occurring pyrethroid extracts from the chrysanthemum flower. Pyrethrins are safe and effective when used as directed. Pyrethrins can only kill live lice, not unhatched eggs (nits). A second treatment is recommended 9 to 10 days after the first treatment to kill any newly hatched lice before they can produce new eggs. Pyrethrins generally should not be used by persons who are allergic to chrysanthemums or ragweed. Pyrethrin is approved for use on children 2 years of age and older.  
    -  
Permethrin lotion, 1%;
 Brand name product: Nix*. 
Permethrin is a synthetic pyrethroid similar to naturally occurring pyrethrins. Permethrin lotion 1% is approved by the FDA for the treatment of head lice. Permethrin is safe and effective when used as directed. Permethrin kills live lice but not unhatched eggs. Permethrin may continue to kill newly hatched lice for several days after treatment. A second treatment often is necessary on day 9 to kill any newly hatched lice before they can produce new eggs. Permethrin is approved for use on children 2 months of age and older.  
    
   
 
     
   Prescription Medications 
   
The following medications, in alphabetical order, approved by the U.S. Food and Drug Administration (FDA) for the treatment of head lice are available only by prescription. If crawling lice are still seen after a full course of treatment, contact your health care provider. 
    
    -  
Benzyl alcohol lotion, 5%;
 Brand name product: Ulesfia lotion* 
Benzyl alcohol is an aromatic alcohol. Benzyl alcohol lotion, 5% has been approved by the FDA for the treatment of head lice and is considered safe and effective when used as directed. It kills lice but it is not ovicidal(i.e., does not kill lice eggs). A second treatment is needed 9 days after the first treatment to kill any newly hatched lice before they can produce new eggs. Benzyl alcohol lotion is intended for use on persons who are 6 months of age and older and its safety in persons aged more 60 years has not been established. It can be irritating to the skin.  
    -  
Ivermectin lotion, 0.5%;
 Brand name product: Sklice* 
Ivermectin lotion, 0.5% was approved by the FDA in 2012 for treatment of head lice in persons 6 months of age and older. It is not ovicidal, but appears to prevent nymphs (newly hatched lice) from surviving. It is effective in most patients when given as a single application on dry hair without nit combing. It should not be used for retreatment without talking to a healthcare provider. 
Given as a tablet in mass drug administrations, oral ivermectin has been used extensively and safely for over two decades in many countries to treat filarial worm infections. Although not FDA-approved for the treatment of lice, ivermectin tablets given in a single oral dose of 200 micrograms/kg repeated in 10 days or 400 micrograms/kg repeated in 7 days has been shown effective against head lice. It should not be used in children weighing less than 15 kg or in pregnant women.   
    -  
Spinosad 0.9% topical suspension;
 Brand name product: Natroba* 
Spinosad is derived from soil bacteria. Spinosad topical suspension, 0.9%, was approved by the FDA in 2011. Since it kills live lice as well as unhatched eggs, retreatment is usually not needed. Nit combing is not required. Spinosad topical suspension is approved for the treatment of children 6 months of age and older. It is safe and effective when used as directed. Repeat treatment should be given only if live (crawling) lice are seen 7 days after the first treatment.  
    
   
For second–line treatment only: 
    
    -  
Lindane shampoo 1%;
 Brand name products: None available 
Lindane is an organochloride. The American Academy of Pediatrics (AAP) no longer recommends it as a pediculocide. Although lindane shampoo 1% is approved by the FDA for the treatment of head lice, it is not recommended as a first–line treatment. Overuse, misuse, or accidentally swallowing lindane can be toxic to the brain and other parts of the nervous system; its use should be restricted to patients for whom prior treatments have failed or who cannot tolerate other medications that pose less risk. Lindane should not be used to treat premature infants, persons with HIV, a seizure disorder, women who are pregnant or breast–feeding, persons who have very irritated skin or sores where the lindane will be applied, infants, children, the elderly, and persons who weigh less than 110 pounds. Retreatment should be avoided.  
    
   
 
   
When treating head lice 
    
    - Do not use extra amounts of any lice medication unless instructed to do so by your physician or pharmacist. The drugs used to treat lice are insecticides and can be dangerous if they are misused or overused. 
    - All the medications listed above should be kept out of the eyes. If they get onto the eyes, they should be immediately flushed away. 
    - Do not treat an infested person more than 2–3 times with the same medication if it does not seem to be working. This may be caused by using the medicine incorrectly or by resistance to the medicine. Always seek the advice of your health care provider if this should happen. He/she may recommend an alternative medication. 
    - Do not use different head lice drugs at the same time unless instructed to do so by your physician or pharmacist. 
    
   
 
   
*Use of trade names is for identification purposes only and does not imply endorsement by the Public Health Service or by the U.S. Department of Health and Human Services."
